car_name,yr_mfr,fuel_type,kms_run,sale_price,city,body_type,transmission,variant,assured_buy,registered_city,registered_state,is_hot,rto,make,model,total_owners,original_price,car_rating,fitness_certificate
maruti celerio,2015,petrol,30536,431699,hyderabad,hatchback,automatic,zxi amt,True,hyderabad,telangana,True,ts07,maruti,celerio,1,Unknown,great,True
maruti swift,2011,petrol,45905,425599,hyderabad,hatchback,manual,vxi,True,hyderabad,telangana,True,ap28,maruti,swift,1,504453.0,great,True
maruti alto,2011,petrol,36593,232599,hyderabad,hatchback,manual,lxi,True,hyderabad,telangana,True,ap10,maruti,alto,2,Unknown,great,True
hyundai elite i20,2016,petrol,30356,592599,hyderabad,hatchback,manual,asta 1.2,True,hyderabad,telangana,True,ts10,hyundai,elite i20,1,715824.0,great,True
hyundai i10,2011,petrol,60134,362999,hyderabad,hatchback,automatic,sportz 1.2 at kappa2,True,hyderabad,telangana,True,ap28,hyundai,i10,2,437830.0,great,True
renault kwid,2018,petrol,13739,393199,hyderabad,hatchback,automatic,1.0 rxt opt at,True,hyderabad,telangana,True,ts07,renault,kwid,1,393299.0,great,True
maruti alto,2012,petrol,21186,262999,hyderabad,hatchback,manual,lxi,True,hyderabad,telangana,True,ap29,maruti,alto,1,Unknown,great,True
hyundai i10,2010,petrol,49696,273099,hyderabad,hatchback,manual,magna 1.2 kappa2,True,hyderabad,telangana,True,ap11,hyundai,i10,2,294752.0,good,True
maruti alto,2011,petrol,26705,250099,hyderabad,hatchback,manual,lxi,True,hyderabad,telangana,True,ap29,maruti,alto,1,287374.0,great,True
maruti s presso,2019,petrol,11267,424899,hyderabad,hatchback,Unknown,vxi plus ags,True,hyderabad,telangana,True,ts09,maruti,s presso,1,424900.0,great,True
maruti alto 800,2018,petrol,17394,340699,hyderabad,hatchback,manual,lxi,True,hyderabad,telangana,True,ts08,maruti,alto 800,1,Unknown,great,True
maruti alto 800,2016,petrol,32135,294899,hyderabad,hatchback,manual,lxi,True,hyderabad,telangana,True,ts07,maruti,alto 800,2,294999.0,great,True
maruti zen estilo,2010,petrol,20984,270399,hyderabad,hatchback,manual,vxi,True,hyderabad,telangana,True,ap29,maruti,zen estilo,1,274399.0,good,True
hyundai i10,2010,petrol,46776,311799,hyderabad,hatchback,manual,sportz 1.2 kappa2,True,visakhapatnam,andhra pradesh,True,ap31,hyundai,i10,1,367881.0,great,True
hyundai eon,2013,petrol,33010,286299,hyderabad,hatchback,manual,magna plus,True,hyderabad,telangana,True,ap29,hyundai,eon,1,288899.0,great,True
maruti celerio,2015,petrol,38294,336099,hyderabad,hatchback,automatic,vxi at,True,hyderabad,telangana,True,ts08,maruti,celerio,2,405083.0,great,True
hyundai grand i10,2017,petrol,38961,501999,hyderabad,hatchback,manual,asta 1.2 kappa vtvt,True,hyderabad,telangana,True,ts07,hyundai,grand i10,1,613825.0,great,True
hyundai i10,2010,petrol,51154,266699,hyderabad,hatchback,manual,magna 1.1 irde2,True,hyderabad,telangana,True,ap09,hyundai,i10,1,278699.0,great,True
maruti alto k10,2011,petrol,45069,222799,hyderabad,hatchback,manual,vxi,True,hyderabad,telangana,True,ap28,maruti,alto k10,1,Unknown,good,True
hyundai eon,2018,petrol,12519,359899,hyderabad,hatchback,manual,era plus,True,hyderabad,telangana,True,ts09,hyundai,eon,1,359999.0,great,True
maruti alto 800,2016,petrol,7011,313799,hyderabad,hatchback,manual,lxi,True,hyderabad,telangana,True,ts07,maruti,alto 800,1,313899.0,great,True
volkswagen polo,2014,petrol,54158,451699,hyderabad,hatchback,manual,highline1.2l petrol,True,hyderabad,telangana,True,ap28,volkswagen,polo,2,549553.0,great,True
maruti baleno,2017,petrol,28476,594699,hyderabad,hatchback,automatic,delta 1.2 k12 amt,True,hyderabad,telangana,True,ts07,maruti,baleno,1,602755.0,great,True
honda amaze,2015,petrol,46295,407799,hyderabad,sedan,manual,1.2 smt i vtec,True,hyderabad,telangana,True,ts08,honda,amaze,2,498385.0,great,True
hyundai i10,2011,petrol,64715,255299,hyderabad,hatchback,manual,sportz 1.2 kappa2,True,hyderabad,telangana,True,ap09,hyundai,i10,2,301218.0,great,True
