car_name,yr_mfr,fuel_type,kms_run,sale_price,city,body_type,transmission,variant,assured_buy,registered_city,registered_state,is_hot,rto,make,model,total_owners,original_price,car_rating,fitness_certificate
maruti swift,2015,petrol,8063,386399,noida,hatchback,manual,lxi opt,True,delhi,delhi,True,dl6c,maruti,swift,2,404177.0,great,True
maruti alto 800,2016,petrol,23104,265499,noida,hatchback,manual,lxi,True,noida,uttar pradesh,True,up16,maruti,alto 800,1,354313.0,great,True
hyundai grand i10,2017,petrol,23402,477699,noida,hatchback,manual,sports 1.2 vtvt,True,agra,uttar pradesh,True,up80,hyundai,grand i10,1,Unknown,great,True
maruti swift,2013,diesel,39124,307999,noida,hatchback,manual,vdi,True,delhi,delhi,True,dl1c,maruti,swift,1,374326.0,great,True
hyundai grand i10,2015,petrol,22116,361499,noida,hatchback,manual,magna 1.2 vtvt,False,new delhi,delhi,True,dl12,hyundai,grand i10,1,367216.0,great,True
maruti alto k10,2018,petrol,23534,335299,noida,hatchback,Unknown,vxi (o) amt,True,delhi,delhi,True,dl2c,maruti,alto k10,1,439056.0,great,True
maruti ritz,2012,diesel,41213,281999,noida,hatchback,manual,vdi,True,delhi,delhi,True,dl12,maruti,ritz,1,Unknown,great,True
hyundai i20,2012,petrol,38328,321499,noida,hatchback,manual,asta 1.2,True,noida,uttar pradesh,True,up16,hyundai,i20,3,410764.0,great,True
hyundai elite i20,2014,diesel,56402,456199,noida,hatchback,manual,magna 1.4 crdi,True,noida,uttar pradesh,True,up16,hyundai,elite i20,1,566123.0,great,True
renault kwid,2018,petrol,32703,281299,noida,hatchback,manual,rxl,True,noida,uttar pradesh,True,up16,renault,kwid,1,344127.0,great,True
maruti alto 800,2014,petrol,53180,206899,noida,hatchback,manual,lxi,True,delhi,delhi,True,dl9c,maruti,alto 800,1,207105.0,great,True
hyundai i10,2008,petrol,44219,194699,noida,hatchback,manual,sportz 1.2,True,gurgaon,haryana,True,hr26,hyundai,i10,1,Unknown,good,True
hyundai i20,2012,diesel,55764,287999,noida,hatchback,manual,sportz 1.4 crdi,True,new delhi,delhi,True,dl7c,hyundai,i20,2,356231.0,great,True
honda brio,2012,petrol,58581,235699,noida,hatchback,manual,1.2 v mt i vtec,True,ghaziabad,uttar pradesh,True,up14,honda,brio,1,307559.0,great,True
hyundai i10,2011,petrol,49761,207499,noida,hatchback,manual,magna 1.2 kappa2,True,delhi,delhi,True,dl10,hyundai,i10,1,Unknown,good,True
honda city,2010,petrol,63808,304199,noida,sedan,manual,s mt petrol,True,noida,uttar pradesh,True,up16,honda,city,1,364648.0,great,True
hyundai i10,2011,petrol,70126,217599,noida,hatchback,manual,sportz 1.2 kappa2,True,delhi,delhi,True,dl3c,hyundai,i10,1,284836.0,great,True
hyundai eon,2013,petrol,49817,216899,noida,hatchback,manual,d lite plus,True,panchkula,haryana,True,hr03,hyundai,eon,1,Unknown,great,True
maruti swift,2015,diesel,62806,396499,noida,hatchback,manual,vdi abs,True,noida,uttar pradesh,True,up16,maruti,swift,1,515526.0,great,True
honda brio,2015,petrol,58396,347399,noida,hatchback,manual,1.2 s mt i vtec,True,delhi,delhi,True,dl13,honda,brio,2,405581.0,great,True
hyundai eon,2014,petrol,59559,209799,noida,hatchback,manual,era plus,True,ghaziabad,uttar pradesh,True,up14,hyundai,eon,1,272348.0,great,True
hyundai verna,2012,diesel,68355,398799,noida,sedan,manual,fluidic 1.6 sx crdi,True,gurgaon,haryana,True,hr26,hyundai,verna,1,467580.0,great,True
maruti ritz,2010,petrol,82078,207099,noida,hatchback,manual,vxi bs iv,True,delhi,delhi,True,dl3c,maruti,ritz,1,257586.0,great,True
maruti swift,2013,diesel,66350,318399,noida,hatchback,manual,vdi,True,delhi,delhi,True,dl8c,maruti,swift,1,Unknown,great,True
maruti alto,2010,petrol,56231,180999,noida,hatchback,manual,lxi,True,meerut,uttar pradesh,True,up15,maruti,alto,2,Unknown,good,True
hyundai i20,2010,petrol,72985,227699,noida,hatchback,manual,magna o 1.2,True,gurgaon,haryana,True,hr26,hyundai,i20,1,Unknown,great,True
hyundai santro xing,2009,petrol,79244,164899,noida,hatchback,manual,gls,True,delhi,delhi,True,dl3c,hyundai,santro xing,1,177150.0,good,True
maruti swift,2014,petrol,71876,389699,noida,hatchback,manual,vxi,True,delhi,delhi,True,dl2c,maruti,swift,1,480698.0,great,True
maruti swift dzire,2011,petrol,90479,224299,noida,sedan,manual,vxi 1.2 bs iv,True,faridabad,haryana,True,hr51,maruti,swift dzire,1,282096.0,great,True
ford ecosport,2013,diesel,66940,397199,noida,suv,manual,1.5 trend tdci,True,faridabad,haryana,True,hr51,ford,ecosport,1,472084.0,great,True
maruti swift dzire,2013,diesel,80394,332499,noida,sedan,manual,vdi bs iv,True,noida,uttar pradesh,True,up16,maruti,swift dzire,1,408992.0,great,True
maruti swift dzire,2012,diesel,77954,306899,noida,sedan,manual,vdi bs iv,True,new delhi,delhi,True,dl3c,maruti,swift dzire,2,369669.0,great,True
nissan sunny,2012,petrol,82364,287099,noida,sedan,manual,xl petrol,True,delhi,delhi,True,dl11,nissan,sunny,1,332102.0,great,True
hyundai xcent,2014,diesel,66743,276299,noida,sedan,manual,s 1.1 crdi,True,delhi,delhi,True,dl10,hyundai,xcent,1,Unknown,great,True
maruti ritz,2012,diesel,114402,228699,noida,hatchback,manual,vdi,False,new delhi,delhi,True,dl4c,maruti,ritz,1,Unknown,great,True
hyundai i20,2012,diesel,83767,244399,noida,hatchback,manual,magna o 1.4 crdi,True,noida,uttar pradesh,True,up16,hyundai,i20,1,330021.0,great,True
toyota etios liva,2012,diesel,87914,266299,noida,hatchback,manual,d 4d gd,True,delhi,delhi,True,dl12,toyota,etios liva,1,348764.0,great,True
maruti swift,2013,diesel,74429,314499,noida,hatchback,manual,vdi,True,noida,uttar pradesh,True,up14,maruti,swift,2,365244.0,great,True
maruti swift,2014,diesel,81137,381299,noida,hatchback,manual,vdi,True,ghaziabad,uttar pradesh,True,up14,maruti,swift,2,458804.0,great,True
hyundai i20,2012,diesel,85689,302299,noida,hatchback,manual,sportz 1.4 crdi,True,goutam  budd  nagar,uttar pradesh,True,up16,hyundai,i20,1,377619.0,great,True
hyundai santro xing,2011,petrol,139038,165499,noida,hatchback,manual,gl plus,True,delhi,delhi,True,dl3c,hyundai,santro xing,1,Unknown,great,True
hyundai grand i10,2013,petrol,82328,364399,noida,hatchback,manual,sportz 1.2 kappa vtvt,True,delhi,delhi,True,dl2c,hyundai,grand i10,1,Unknown,great,True
hyundai verna,2015,diesel,87238,542699,noida,sedan,manual,fluidic 1.6 crdi s,True,ghaziabad,uttar pradesh,True,up14,hyundai,verna,1,680558.0,great,True
maruti swift dzire,2010,petrol,95236,202499,noida,sedan,manual,vxi,True,noida,uttar pradesh,True,up16,maruti,swift dzire,2,265671.0,great,True
maruti alto k10,2012,petrol,92532,215599,noida,hatchback,manual,vxi,True,new delhi,delhi,True,dl12,maruti,alto k10,1,Unknown,great,True
maruti celerio,2016,petrol & cng,104962,326499,noida,hatchback,manual,vxi cng,True,faridabad,haryana,True,hr51,maruti,celerio,1,366773.0,great,True
maruti baleno,2016,diesel,88453,545799,noida,hatchback,manual,alpha ddis 190,True,delhi,delhi,True,dl1c,maruti,baleno,1,703554.0,great,True
maruti swift dzire,2013,diesel,77823,390699,noida,sedan,manual,zdi,True,delhi,delhi,True,dl4c,maruti,swift dzire,1,Unknown,great,True
maruti swift dzire,2013,diesel,82016,274399,noida,sedan,manual,ldi bs iv,True,delhi,delhi,True,dl3c,maruti,swift dzire,2,353776.0,great,True
hyundai i20,2012,diesel,112314,294799,noida,hatchback,manual,sportz 1.4 crdi,True,gurgaon,haryana,True,hr26,hyundai,i20,1,Unknown,great,True
maruti swift dzire,2013,diesel,96826,352799,noida,sedan,manual,vdi,True,noida,uttar pradesh,True,up16,maruti,swift dzire,1,446284.0,great,True
maruti swift,2015,diesel,91280,405399,noida,hatchback,manual,vdi abs,True,faridabad,haryana,True,hr51,maruti,swift,1,Unknown,great,True
maruti swift,2015,diesel,92527,372899,noida,hatchback,manual,vdi abs,True,noida,uttar pradesh,True,up16,maruti,swift,1,467250.0,great,True
hyundai new elantra,2013,diesel,81971,604299,noida,luxury sedan,manual,s 1.6 mt,True,gurgaon,haryana,True,hr26,hyundai,new elantra,1,662351.0,great,True
hyundai i20,2012,diesel,118130,243299,noida,hatchback,manual,sportz o 1.4 crdi,True,noida,uttar pradesh,True,up16,hyundai,i20,3,277540.0,great,True
maruti swift,2014,diesel,124969,367999,noida,hatchback,manual,zdi,True,ghaziabad,uttar pradesh,True,up14,maruti,swift,1,486770.0,great,True
maruti swift,2011,diesel,133175,289199,noida,hatchback,manual,zdi,True,ghaziabad,uttar pradesh,True,up14,maruti,swift,1,330743.0,great,True
maruti swift dzire,2013,diesel,110484,391499,noida,sedan,manual,zdi,True,gurgaon,haryana,True,hr26,maruti,swift dzire,1,401404.0,great,True
honda amaze,2014,petrol,78097,337799,noida,sedan,manual,1.2 smt i vtec,True,faridabad,haryana,True,hr29,honda,amaze,2,398236.0,great,True
maruti ritz,2012,diesel,100995,234399,noida,hatchback,manual,vdi,True,ghaziabad,uttar pradesh,True,up14,maruti,ritz,1,304629.0,great,True
maruti ritz,2012,diesel,123546,215699,noida,hatchback,manual,vdi,True,ghaziabad,uttar pradesh,True,up14,maruti,ritz,1,248620.0,great,True
hyundai elite i20,2015,diesel,110531,420299,noida,hatchback,manual,magna 1.4 crdi,True,ghaziabad,uttar pradesh,True,up14,hyundai,elite i20,1,527700.0,great,True
hyundai creta,2018,diesel,78027,1149984,noida,suv,automatic,1.6 crdi sx plus auto,True,meerut,uttar pradesh,True,up14,hyundai,creta,2,1295740.0,great,True
maruti swift,2012,diesel,129639,306199,noida,hatchback,manual,vdi,True,goutam  budd  nagar,uttar pradesh,True,up16,maruti,swift,1,382854.0,great,True
maruti swift,2009,petrol & cng,118559,215299,noida,hatchback,manual,vxi,True,new delhi,delhi,True,dl2c,maruti,swift,2,Unknown,great,True
maruti swift,2012,diesel,156680,291399,noida,hatchback,manual,vdi,True,delhi,delhi,True,dl13,maruti,swift,1,345903.0,great,True
maruti wagon r 1.0,2010,petrol & cng,176287,219999,noida,hatchback,manual,lxi cng,True,delhi,delhi,True,dl4c,maruti,wagon r 1.0,1,Unknown,good,True
honda amaze,2015,diesel,123934,315599,noida,sedan,manual,1.5 emt i dtec,True,ghaziabad,uttar pradesh,True,up14,honda,amaze,2,400848.0,great,True
audi q3,2014,diesel,66027,1332390,noida,luxury suv,Unknown,2.0 tdi quattro mt,True,delhi,delhi,True,dl1c,audi,q3,1,Unknown,great,True
hyundai creta,2015,diesel,88375,789799,noida,suv,Unknown,1.6 sx crdi,True,delhi,delhi,True,dl1c,hyundai,creta,1,792382.0,great,True
maruti swift dzire,2012,diesel,180639,312099,noida,sedan,manual,vdi bs iv,True,goutam  budd  nagar,uttar pradesh,True,up16,maruti,swift dzire,1,Unknown,great,True
hyundai elite i20,2015,diesel,116697,536999,noida,hatchback,manual,asta 1.4 crdi,True,faridabad,haryana,True,hr51,hyundai,elite i20,1,Unknown,great,True
maruti vitara brezza,2016,diesel,111613,593099,noida,suv,manual,vdi,True,new delhi,delhi,True,dl6c,maruti,vitara brezza,1,653679.0,great,True
honda amaze,2014,diesel,98992,293999,noida,sedan,manual,1.5 exmt i dtec,True,noida,uttar pradesh,True,up16,honda,amaze,1,333904.0,great,True
hyundai elite i20,2017,diesel,148526,514799,noida,hatchback,manual,sportz 1.4,True,noida,uttar pradesh,True,up16,hyundai,elite i20,1,639725.0,great,True
toyota corolla altis,2014,diesel,103033,694599,noida,luxury sedan,manual,d 4d j,True,faridabad,haryana,True,hr29,toyota,corolla altis,1,719426.0,great,True
maruti swift,2013,diesel,194203,284099,noida,hatchback,manual,vdi,True,delhi,delhi,True,dl5c,maruti,swift,1,362578.0,great,True
audi q3,2014,diesel,90959,1103827,noida,luxury suv,Unknown,2.0 tdi,True,noida,uttar pradesh,True,up16,audi,q3,1,1135210.0,great,True
toyota innova,2015,diesel,111562,844899,noida,suv,manual,2.5 vx 7 str bs iv,True,faridabad,haryana,True,hr51,toyota,innova,1,1002280.0,great,True
renault scala,2013,diesel,219642,264299,noida,sedan,manual,rxz,True,faridabad,haryana,True,hr29,renault,scala,1,284657.0,good,True
maruti wagon r 1.0,2015,petrol,11343,334899,noida,hatchback,manual,vxi,True,noida,uttar pradesh,True,up16,maruti,wagon r 1.0,1,451448.0,great,True
maruti alto 800,2019,petrol & cng,2510,346599,noida,hatchback,manual,lxi cng,True,noida,uttar pradesh,True,up16,maruti,alto 800,1,465496.0,great,True
maruti alto k10,2013,petrol,21784,240199,noida,hatchback,manual,vxi,True,bareilly,uttar pradesh,True,up25,maruti,alto k10,2,310189.0,great,True
renault kwid,2019,petrol,4279,341199,noida,hatchback,manual,rxt,True,new delhi,delhi,True,dl12,renault,kwid,1,342500.0,great,True
maruti dzire,2019,petrol,11393,516599,noida,sedan,manual,lxi,True,bulandshahr,uttar pradesh,True,up13,maruti,dzire,1,682666.0,great,True
maruti alto k10,2019,petrol,11221,358099,noida,hatchback,Unknown,vxi opt. mt,True,noida,uttar pradesh,True,up16,maruti,alto k10,1,460540.0,great,True
honda city,2010,petrol,47405,360799,noida,sedan,manual,s mt petrol,True,delhi,delhi,True,dl3c,honda,city,1,449780.0,great,True
maruti swift,2013,petrol,43803,352799,noida,hatchback,manual,vxi,True,agra,uttar pradesh,True,up80,maruti,swift,1,435703.0,great,True
hyundai eon,2013,petrol,24955,226199,noida,hatchback,manual,d lite plus,True,delhi,delhi,True,dl1c,hyundai,eon,1,269270.0,great,True
maruti alto 800,2016,petrol,34451,259999,noida,hatchback,manual,lxi,True,jhajjar,haryana,True,hr14,maruti,alto 800,1,330354.0,great,True
renault kwid,2016,petrol,40154,213999,noida,hatchback,manual,rxt,True,ghaziabad,uttar pradesh,True,up14,renault,kwid,1,292706.0,great,True
renault kwid,2016,petrol,37916,234099,noida,hatchback,manual,rxt,True,faridabad,haryana,True,hr29,renault,kwid,1,302963.0,great,True
hyundai grand i10,2017,petrol,25826,488699,noida,hatchback,Unknown,sportz (o) 1.2 at vtvt,True,new delhi,delhi,True,dl3c,hyundai,grand i10,1,509892.0,great,True
hyundai grand i10,2017,petrol & cng,38901,462899,noida,hatchback,Unknown,sportz(o) 1.2 mt,True,delhi,delhi,True,dl5c,hyundai,grand i10,1,Unknown,great,True
maruti wagon r 1.0,2012,petrol,39131,232999,noida,hatchback,manual,lxi,True,gurgaon,haryana,True,hr26,maruti,wagon r 1.0,1,275375.0,great,True
renault duster,2013,diesel,28769,454599,noida,suv,manual,85 ps rxl opt,False,noida,uttar pradesh,True,up16,renault,duster,1,544319.0,great,True
maruti alto k10,2018,petrol,3212,394399,noida,hatchback,manual,vxi,True,delhi,delhi,True,dl2c,maruti,alto k10,1,Unknown,great,True
hyundai eon,2016,petrol,14776,278199,noida,hatchback,manual,era plus,True,new delhi,delhi,True,dl5c,hyundai,eon,1,339745.0,great,True
maruti swift,2013,diesel,50647,349299,noida,hatchback,manual,vdi,True,delhi,delhi,True,dl3c,maruti,swift,2,Unknown,great,True
hyundai elite i20,2019,petrol,21556,571299,noida,hatchback,Unknown,1.2 magna plus vtvt,True,auraiya,uttar pradesh,True,up79,hyundai,elite i20,1,719548.0,great,True
maruti swift,2013,petrol,48461,370599,noida,hatchback,manual,vxi,True,new delhi,delhi,True,dl12,maruti,swift,1,Unknown,great,True
maruti swift,2012,diesel,62476,317399,noida,hatchback,manual,vdi,True,goutam  budd  nagar,uttar pradesh,True,up16,maruti,swift,1,428945.0,great,True
tata tiago,2017,diesel,85779,332399,noida,hatchback,manual,xt 1.05 revotorq,True,delhi,delhi,True,dl1c,tata,tiago,2,333899.0,great,True
hyundai creta,2015,petrol,20087,823499,noida,suv,manual,1.6 s,True,noida,uttar pradesh,True,up16,hyundai,creta,2,1023449.0,great,True
hyundai i10,2011,petrol,59431,223599,noida,hatchback,manual,sportz 1.2 kappa2,True,raebarely,uttar pradesh,True,up33,hyundai,i10,1,262473.0,great,True
toyota etios liva,2013,petrol,40911,294399,noida,hatchback,manual,g,True,delhi,delhi,True,dl8c,toyota,etios liva,2,349285.0,good,True
maruti ertiga,2019,petrol,8326,897199,noida,suv,Unknown,zxi smart hybrid,True,new delhi,delhi,True,dl6c,maruti,ertiga,1,1105910.0,great,True
hyundai i20,2011,petrol,71538,256699,noida,hatchback,manual,magna o 1.2,True,sonipat,haryana,True,hr10,hyundai,i20,1,268499.0,great,True
datsun redi go,2016,petrol,28840,221399,noida,hatchback,manual,t (o),True,delhi,delhi,True,dl1c,datsun,redi go,1,Unknown,good,True
maruti celerio,2015,petrol,53095,354999,noida,hatchback,manual,zxi,True,delhi,delhi,True,dl9c,maruti,celerio,1,361544.0,great,True
hyundai i20,2012,diesel,59922,276399,noida,hatchback,manual,magna 1.4 crdi,True,faridabad,haryana,True,hr51,hyundai,i20,1,297556.0,good,True
honda wr-v,2018,petrol,28290,709899,noida,suv,manual,1.2 i-vtec vx mt,True,noida,uttar pradesh,True,up16,honda,wr-v,1,917232.0,great,True
maruti baleno,2017,petrol,34205,509399,noida,hatchback,manual,zeta 1.2 k12,True,noida,uttar pradesh,True,up16,maruti,baleno,1,535699.0,great,True
maruti swift,2015,petrol,57972,369399,noida,hatchback,manual,vxi,True,delhi,delhi,True,dl7c,maruti,swift,3,470977.0,great,True
maruti swift,2008,petrol,61909,203099,noida,hatchback,manual,lxi 1.3,True,delhi,delhi,True,dl7c,maruti,swift,1,236421.0,good,True
mahindra xuv500,2012,diesel,49367,479899,noida,luxury suv,manual,w8 fwd,True,noida,uttar pradesh,True,up16,mahindra,xuv500,3,503313.0,good,True
mahindra xuv500,2014,diesel,64950,555999,noida,luxury suv,manual,w8 fwd,True,new delhi,delhi,True,dl8c,mahindra,xuv500,2,636898.0,great,True
maruti sx4,2010,petrol,61261,232899,noida,sedan,manual,zxi,True,ghaziabad,uttar pradesh,True,up16,maruti,sx4,1,265408.0,good,True
honda amaze,2013,diesel,72461,301399,noida,sedan,manual,1.5 exmt i dtec,True,delhi,delhi,True,dl13,honda,amaze,1,Unknown,great,True
maruti swift,2013,diesel,67011,369299,noida,hatchback,manual,vdi,True,faridabad,haryana,True,hr29,maruti,swift,1,436632.0,great,True
hyundai elite i20,2015,petrol,53171,480399,noida,hatchback,manual,sportz 1.2,True,noida,uttar pradesh,True,up16,hyundai,elite i20,1,560624.0,great,True
hyundai grand i10,2017,petrol,93152,377799,noida,hatchback,Unknown,sportz(o) 1.2 mt,True,delhi,delhi,True,dl10,hyundai,grand i10,1,493700.0,good,True
volkswagen polo,2011,petrol,59541,275099,noida,hatchback,manual,comfortline 1.2l petrol,True,gurgaon,haryana,True,hr26,volkswagen,polo,2,Unknown,good,True
maruti zen estilo,2011,petrol,89510,188399,noida,hatchback,manual,lxi,True,noida,uttar pradesh,True,up16,maruti,zen estilo,1,221714.0,good,True
tata tiago,2016,petrol,55538,359399,noida,hatchback,manual,xt 1.2 revotron,True,delhi,delhi,True,dl10,tata,tiago,1,Unknown,great,True
mahindra scorpio,2015,diesel,50968,801099,noida,suv,manual,s8,True,delhi,delhi,True,dl8c,mahindra,scorpio,1,1012190.0,great,True
toyota innova crysta,2017,diesel,42841,1415109,noida,suv,manual,2.4 gx 7 str,True,noida,uttar pradesh,True,up16,toyota,innova crysta,1,1713713.0,great,True
volkswagen polo,2013,petrol,65942,317199,noida,hatchback,manual,comfortline 1.2l petrol,True,gurgaon,haryana,True,hr26,volkswagen,polo,1,374585.0,great,True
mahindra scorpio,2016,diesel,59831,1092313,noida,suv,manual,s10,True,ghaziabad,uttar pradesh,True,up14,mahindra,scorpio,1,Unknown,great,True
hyundai creta,2016,petrol,61582,720299,noida,suv,manual,1.6 sx plus petrol,True,noida,uttar pradesh,True,up16,hyundai,creta,2,837780.0,great,True
mahindra scorpio,2016,diesel,61330,1030804,noida,suv,manual,s10,True,noida,uttar pradesh,True,up16,mahindra,scorpio,2,1272552.0,great,True
ford figo,2012,diesel,58699,233099,noida,hatchback,manual,1.4 zxi duratorq,True,gurgaon,haryana,True,hr26,ford,figo,1,Unknown,fair,True
maruti swift,2009,petrol,96354,239299,noida,hatchback,manual,vxi,True,new delhi,delhi,True,dl7c,maruti,swift,2,262687.0,good,True
mitsubishi outlander,2009,petrol,95127,307099,noida,luxury suv,manual,2.4 mivec,True,delhi,delhi,True,dl7c,mitsubishi,outlander,3,331199.0,great,True
hyundai verna,2014,diesel,81676,520499,noida,sedan,manual,fluidic 1.6 sx crdi opt,True,noida,uttar pradesh,True,up16,hyundai,verna,1,643090.0,great,True
hyundai verna,2014,diesel,84334,510699,noida,sedan,manual,fluidic 1.4 crdi cx,True,delhi,delhi,True,dl12,hyundai,verna,1,608343.0,great,True
volkswagen ameo,2017,diesel,73768,486299,noida,sedan,manual,highline 1.5,True,ghaziabad,uttar pradesh,True,up14,volkswagen,ameo,1,509599.0,great,True
maruti zen estilo,2010,petrol,65057,208999,noida,hatchback,manual,lxi,True,delhi,delhi,True,dl7c,maruti,zen estilo,1,Unknown,good,True
maruti alto k10,2012,petrol,89988,206399,noida,hatchback,manual,vxi,True,delhi,delhi,True,dl9c,maruti,alto k10,2,Unknown,good,True
maruti celerio,2016,petrol & cng,100780,358299,noida,hatchback,manual,vxi cng,False,delhi,delhi,True,dl9c,maruti,celerio,2,Unknown,great,True
honda brio,2013,petrol,90659,251399,noida,hatchback,manual,1.2 s mt i vtec,True,delhi,delhi,True,dl2c,honda,brio,2,281810.0,good,True
hyundai santro xing,2013,petrol,79800,220699,noida,hatchback,manual,gl plus,True,delhi,delhi,True,dl8c,hyundai,santro xing,1,Unknown,great,True
maruti swift dzire,2012,petrol,90220,290899,noida,sedan,manual,lxi 1.2 bs iv,True,ghaziabad,uttar pradesh,True,up14,maruti,swift dzire,1,367653.0,great,True
ford ecosport,2013,diesel,99113,413099,noida,suv,manual,1.5titanium tdci,True,noida,uttar pradesh,True,up16,ford,ecosport,1,517356.0,great,True
mahindra xuv500,2014,diesel,60070,699399,noida,luxury suv,manual,w8 fwd,True,navi mumbai,maharashtra,True,mh43,mahindra,xuv500,1,824782.0,great,True
nissan terrano,2014,diesel,110471,469099,noida,suv,manual,xv 110 diesel,True,ghaziabad,uttar pradesh,True,up14,nissan,terrano,1,538030.0,great,True
honda amaze,2014,petrol,86304,364599,noida,sedan,manual,1.2 smt i vtec,True,noida,uttar pradesh,True,up16,honda,amaze,1,391854.0,great,True
maruti ritz,2010,petrol,108338,230799,noida,hatchback,manual,vxi genus,True,noida,uttar pradesh,True,up16,maruti,ritz,1,295036.0,great,True
hyundai i20,2012,diesel,122256,299399,noida,hatchback,manual,sportz 1.4 crdi,True,ghaziabad,uttar pradesh,True,up14,hyundai,i20,1,355277.0,great,True
toyota etios,2015,petrol,168109,330899,noida,sedan,manual,g,True,noida,uttar pradesh,True,up16,toyota,etios,1,410291.0,great,True
maruti ertiga,2012,diesel,186207,440199,noida,suv,manual,vdi,True,noida,uttar pradesh,True,up14,maruti,ertiga,1,493793.0,good,True
volkswagen vento,2013,diesel,192715,377799,noida,sedan,manual,highline diesel,True,mathura,uttar pradesh,True,up85,volkswagen,vento,1,443076.0,great,True
toyota corolla altis,2014,petrol,134937,751399,noida,luxury sedan,manual,gl,True,noida,uttar pradesh,True,up16,toyota,corolla altis,1,910742.0,great,True
audi q3,2013,diesel,114155,1072517,noida,luxury suv,automatic,2.0 tdi quattro,True,delhi,delhi,True,dl1c,audi,q3,2,1194051.0,great,True
hyundai creta,2016,diesel,124714,818799,noida,suv,Unknown,1.6 sx at crdi,True,noida,uttar pradesh,True,up16,hyundai,creta,1,987071.0,great,True
audi a6,2013,diesel,107465,1202706,noida,luxury sedan,automatic,2.0 tdi premium plus,True,delhi,delhi,True,dl1c,audi,a6,2,1532278.0,great,True
toyota fortuner,2013,diesel,154297,1213917,noida,luxury suv,automatic,3.0 at 4x2,True,ghaziabad,uttar pradesh,True,up14,toyota,fortuner,1,1510690.0,great,True
toyota innova,2014,diesel,214389,619299,noida,suv,manual,2.5 gx 7 str bs iv,True,new delhi,delhi,True,dl2c,toyota,innova,1,Unknown,great,True
maruti celerio,2015,petrol & cng,158356,316399,noida,hatchback,manual,vxi cng,True,delhi,delhi,True,dl9c,maruti,celerio,1,Unknown,great,True
maruti swift,2015,petrol,27191,365799,noida,hatchback,manual,lxi opt,True,new delhi,delhi,True,dl8c,maruti,swift,1,467108.0,great,True
maruti alto 800,2017,petrol,15581,257699,noida,hatchback,manual,lxi,True,gurgaon,haryana,True,hr26,maruti,alto 800,1,270886.0,great,True
maruti swift dzire,2011,petrol,15248,254299,noida,sedan,manual,vxi 1.2 bs iv,True,delhi,delhi,True,dl3c,maruti,swift dzire,1,313774.0,great,True
maruti alto k10,2018,petrol,17599,335199,noida,hatchback,manual,vxi,True,delhi,delhi,True,dl1c,maruti,alto k10,1,Unknown,great,True
mahindra scorpio,2013,diesel,34861,506799,noida,suv,manual,lx bs iv,True,delhi,delhi,True,dl12,mahindra,scorpio,1,515799.0,great,True
maruti swift,2019,petrol,9218,568299,noida,hatchback,manual,vxi,True,new delhi,delhi,True,dl4c,maruti,swift,1,585975.0,great,True
hyundai grand i10,2019,petrol,7794,513399,noida,hatchback,manual,sportz 1.2 kappa vtvt,True,new delhi,delhi,True,dl9c,hyundai,grand i10,1,521330.0,great,True
datsun redi go,2018,petrol,14537,277899,noida,hatchback,Unknown,1.0 t(o) at,True,ghaziabad,uttar pradesh,True,up14,datsun,redi go,1,360996.0,great,True
maruti swift,2013,diesel,45994,356099,noida,hatchback,manual,vdi,True,noida,uttar pradesh,True,up16,maruti,swift,1,413218.0,great,True
hyundai i10,2010,petrol,55388,190499,noida,hatchback,manual,magna 1.2 kappa2,True,new delhi,delhi,True,dl4c,hyundai,i10,2,240138.0,great,True
maruti sx4,2010,petrol,51871,238199,noida,sedan,Unknown,zxi at,True,delhi,delhi,True,dl3c,maruti,sx4,1,Unknown,good,True
maruti ritz,2011,petrol,41762,239399,noida,hatchback,manual,vxi bs iv,True,delhi,delhi,True,dl12,maruti,ritz,1,258745.0,great,True
mahindra tuv300,2016,diesel,37219,551499,noida,suv,automatic,t8 at,True,delhi,delhi,True,dl12,mahindra,tuv300,1,663747.0,great,True
hyundai elite i20,2020,petrol,11146,532799,noida,hatchback,Unknown,1.2 magna plus vtvt,True,delhi,delhi,True,dl12,hyundai,elite i20,1,679015.0,great,True
honda city,2014,petrol,48845,530499,noida,sedan,manual,v mt petrol,True,delhi,delhi,True,dl11,honda,city,1,695780.0,great,True
maruti new  wagon-r,2019,petrol,21000,397699,noida,Unknown,Unknown,lxi 1.0 l,True,delhi,delhi,True,dl5c,maruti,new  wagon-r,1,399108.0,great,True
honda amaze,2017,petrol,37426,450999,noida,sedan,manual,1.2 smt i vtec,True,noida,uttar pradesh,True,up16,honda,amaze,1,570501.0,great,True
renault kwid,2018,petrol,31537,283999,noida,hatchback,manual,rxl,True,hathras,uttar pradesh,True,up86,renault,kwid,1,285382.0,great,True
hyundai i10,2010,petrol,68453,174499,noida,hatchback,manual,era 1.1 irde,True,delhi,delhi,True,dl3c,hyundai,i10,1,203120.0,great,True
honda city,2017,petrol & cng,28074,791599,noida,sedan,manual,vx mt petrol,False,delhi,delhi,True,dl10,honda,city,1,Unknown,great,True
hyundai xcent,2014,diesel,68235,275699,noida,sedan,manual,s 1.1 crdi opt,True,new delhi,delhi,True,dl9c,hyundai,xcent,2,295362.0,great,True
maruti swift dzire,2013,diesel,67411,271499,noida,sedan,manual,ldi bs iv,True,delhi,delhi,True,dl13,maruti,swift dzire,1,344698.0,great,True
